['AStar-Alg3-LmCut-transport12'],[0.01731085777282715]
['AStar-Alg3-LmCut-transport13'],[0.01743793487548828]
['AStar-Alg3-LmCut-transport14'],[0.014301061630249023]
['AStar-Alg3-LmCut-transport15'],[0.014216899871826172]
['AStar-Alg3-LmCut-transport16'],[0.010600090026855469]
['AStar-Alg3-LmCut-transport17'],[0.006289005279541016]
['AStar-Alg3-LmCut-transport18'],[0.003640890121459961]
['AStar-Alg3-LmCut-transport19'],[0.0022058486938476562]
['AStar-Alg3-LmCut-transport20'],[0.0075609683990478516]
['AStar-Alg3-LmCut-transport21'],[0.006048917770385742]
['AStar-Alg3-LmCut-transport22'],[0.00751495361328125]
['AStar-Alg3-LmCut-transport23'],[0.03185606002807617]
['AStar-Alg3-LmCut-transport24'],[0.004769802093505859]
['AStar-Alg3-LmCut-transport25'],[0.03168201446533203]
['AStar-Alg3-LmCut-transport26'],[0.03187298774719238]
['AStar-Alg3-LmCut-transport27'],[0.007166862487792969]
['AStar-Alg3-LmCut-transport28'],[0.030395984649658203]
['AStar-Alg3-LmCut-transport29'],[0.0316309928894043]
['AStar-Alg3-LmCut-transport30'],[0.030303001403808594]
['AStar-Alg3-LmCut-woodworking1'],[0.031668901443481445]
['AStar-Alg3-LmCut-woodworking2'],[0.004496097564697266]
['AStar-Alg3-LmCut-woodworking3'],[0.002148866653442383]
['AStar-Alg3-LmCut-woodworking4'],[0.008770942687988281]
['AStar-Alg3-LmCut-woodworking5'],[0.004586935043334961]
['AStar-Alg3-LmCut-woodworking6'],[0.004611015319824219]
['AStar-Alg3-LmCut-woodworking7'],[0.03159499168395996]
['AStar-Alg3-LmCut-woodworking8'],[0.03181600570678711]
['AStar-Alg3-LmCut-woodworking9'],[0.031044960021972656]
['AStar-Alg3-LmCut-woodworking10'],[0.03148984909057617]
['AStar-Alg3-LmCut-woodworking11'],[0.03156614303588867]
['AStar-Alg3-Add-umtranslog1'],[0.031184911727905273]
['AStar-Alg3-Add-umtranslog2'],[0.007318019866943359]
['AStar-Alg3-Add-umtranslog3'],[0.010740995407104492]
['AStar-Alg3-Add-umtranslog4'],[0.012979984283447266]
['AStar-Alg3-Add-umtranslog5'],[0.013085126876831055]
['AStar-Alg3-Add-umtranslog6'],[0.014853954315185547]
['AStar-Alg3-Add-umtranslog7'],[0.008440971374511719]
['AStar-Alg3-Add-umtranslog8'],[0.0315861701965332]
['AStar-Alg3-Add-umtranslog9'],[0.03461194038391113]
['AStar-Alg3-Add-umtranslog10'],[0.03191399574279785]
['AStar-Alg3-Add-umtranslog11'],[0.03136587142944336]
['AStar-Alg3-Add-umtranslog12'],[0.0005130767822265625]
['AStar-Alg3-Add-umtranslog13'],[0.03417706489562988]
['AStar-Alg3-Add-umtranslog14'],[0.030999183654785156]
['AStar-Alg3-Add-umtranslog15'],[0.0015420913696289062]
['AStar-Alg3-Add-umtranslog16'],[0.0026061534881591797]
['AStar-Alg3-Add-umtranslog17'],[0.0022280216217041016]
['AStar-Alg3-Add-umtranslog18'],[0.002377033233642578]
['AStar-Alg3-Add-umtranslog19'],[0.0048830509185791016]
['AStar-Alg3-Add-umtranslog20'],[0.01715707778930664]
['AStar-Alg3-Add-umtranslog21'],[0.012948989868164062]
['AStar-Alg3-Add-umtranslog22'],[0.015043973922729492]
['AStar-Alg3-Add-satellite1'],[0.028664112091064453]
['AStar-Alg3-Add-satellite2'],[0.02009892463684082]
['AStar-Alg3-Add-satellite3'],[0.02278614044189453]
['AStar-Alg3-Add-satellite4'],[0.021850109100341797]
['AStar-Alg3-Add-satellite5'],[0.0206758975982666]
['AStar-Alg3-Add-satellite6'],[0.020420074462890625]
['AStar-Alg3-Add-satellite7'],[0.02121901512145996]
['AStar-Alg3-Add-satellite8'],[0.02030205726623535]
['AStar-Alg3-Add-satellite9'],[0.019198894500732422]
['AStar-Alg3-Add-satellite10'],[0.020164012908935547]
['AStar-Alg3-Add-satellite11'],[0.017615079879760742]
['AStar-Alg3-Add-satellite12'],[0.01736283302307129]
['AStar-Alg3-Add-satellite13'],[0.01823115348815918]
['AStar-Alg3-Add-satellite14'],[0.015297889709472656]
['AStar-Alg3-Add-satellite15'],[0.018479108810424805]
['AStar-Alg3-Add-satellite16'],[0.01922607421875]
['AStar-Alg3-Add-satellite17'],[0.016131877899169922]
['AStar-Alg3-Add-satellite18'],[0.015571117401123047]
['AStar-Alg3-Add-satellite19'],[0.013612985610961914]
['AStar-Alg3-Add-satellite20'],[0.012289047241210938]
['AStar-Alg3-Add-satellite21'],[0.0192720890045166]
['AStar-Alg3-Add-satellite22'],[0.010581016540527344]
['AStar-Alg3-Add-satellite23'],[0.024982929229736328]
['AStar-Alg3-Add-satellite24'],[0.020299911499023438]
['AStar-Alg3-Add-satellite25'],[0.022984027862548828]
['AStar-Alg3-Add-entertainment1'],[0.03116893768310547]
['AStar-Alg3-Add-entertainment2'],[0.014935970306396484]
['AStar-Alg3-Add-entertainment3'],[0.0315399169921875]
['AStar-Alg3-Add-entertainment4'],[0.004914045333862305]
['AStar-Alg3-Add-entertainment5'],[0.03204703330993652]
['AStar-Alg3-Add-entertainment6'],[0.030119895935058594]
['AStar-Alg3-Add-entertainment7'],[0.031095027923583984]
['AStar-Alg3-Add-entertainment8'],[0.03161287307739258]
['AStar-Alg3-Add-entertainment9'],[0.030833005905151367]
['AStar-Alg3-Add-entertainment10'],[0.030488014221191406]
['AStar-Alg3-Add-entertainment11'],[0.031263113021850586]
['AStar-Alg3-Add-entertainment12'],[0.030553102493286133]
['AStar-Alg3-Add-rover1'],[0.009939908981323242]
['AStar-Alg3-Add-rover2'],[0.006582021713256836]
['AStar-Alg3-Add-rover3'],[0.004391908645629883]
['AStar-Alg3-Add-rover4'],[0.004682064056396484]
['AStar-Alg3-Add-rover5'],[0.0012629032135009766]
['AStar-Alg3-Add-rover6'],[0.03177285194396973]
['AStar-Alg3-Add-rover7'],[0.03066706657409668]
['AStar-Alg3-Add-rover8'],[0.003930091857910156]
['AStar-Alg3-Add-rover9'],[0.03178000450134277]
['AStar-Alg3-Add-rover10'],[0.03201699256896973]
['AStar-Alg3-Add-rover11'],[0.03158998489379883]
['AStar-Alg3-Add-rover12'],[0.03161907196044922]
['AStar-Alg3-Add-rover13'],[0.03155207633972168]
['AStar-Alg3-Add-rover14'],[0.031083106994628906]
['AStar-Alg3-Add-rover15'],[0.03220009803771973]
['AStar-Alg3-Add-rover16'],[0.030812978744506836]
['AStar-Alg3-Add-rover17'],[0.03240799903869629]
['AStar-Alg3-Add-rover18'],[0.02373790740966797]
['AStar-Alg3-Add-rover19'],[0.02223491668701172]
['AStar-Alg3-Add-rover20'],[0.0240170955657959]
['AStar-Alg3-Add-pcp1'],[0.0250089168548584]
['AStar-Alg3-Add-pcp2'],[0.022658109664916992]
['AStar-Alg3-Add-pcp3'],[0.024121999740600586]
['AStar-Alg3-Add-pcp4'],[0.022106170654296875]
['AStar-Alg3-Add-pcp5'],[0.02121901512145996]
['AStar-Alg3-Add-pcp6'],[0.02321314811706543]
['AStar-Alg3-Add-pcp7'],[0.02266716957092285]
['AStar-Alg3-Add-pcp8'],[0.0217740535736084]
['AStar-Alg3-Add-pcp9'],[0.02305006980895996]
['AStar-Alg3-Add-pcp10'],[0.02324390411376953]
['AStar-Alg3-Add-pcp11'],[0.0236361026763916]
['AStar-Alg3-Add-pcp12'],[0.021042823791503906]
['AStar-Alg3-Add-pcp13'],[0.022242069244384766]
['AStar-Alg3-Add-pcp14'],[0.022388935089111328]
['AStar-Alg3-Add-pcp15'],[0.02360701560974121]
['AStar-Alg3-Add-pcp16'],[0.020398855209350586]
['AStar-Alg3-Add-pcp17'],[0.02207207679748535]
['AStar-Alg3-Add-smartphone1'],[0.023736953735351562]
['AStar-Alg3-Add-smartphone2'],[0.022621870040893555]
['AStar-Alg3-Add-smartphone3'],[0.0257570743560791]
['AStar-Alg3-Add-smartphone4'],[0.025228023529052734]
['AStar-Alg3-Add-smartphone5'],[0.0256650447845459]
['AStar-Alg3-Add-smartphone6'],[0.02461981773376465]
['AStar-Alg3-Add-smartphone7'],[0.025663137435913086]
['AStar-Alg3-Add-transport1'],[0.028015851974487305]
['AStar-Alg3-Add-transport2'],[0.025144100189208984]
['AStar-Alg3-Add-transport3'],[0.022941112518310547]
['AStar-Alg3-Add-transport4'],[0.0213470458984375]
['AStar-Alg3-Add-transport5'],[0.021303892135620117]
['AStar-Alg3-Add-transport6'],[0.02061295509338379]
['AStar-Alg3-Add-transport7'],[0.01862788200378418]
['AStar-Alg3-Add-transport8'],[0.017358779907226562]
['AStar-Alg3-Add-transport9'],[0.022615909576416016]
['AStar-Alg3-Add-transport10'],[0.022671937942504883]
['AStar-Alg3-Add-transport11'],[0.022934913635253906]
['AStar-Alg3-Add-transport12'],[0.02229595184326172]
['AStar-Alg3-Add-transport13'],[0.023189067840576172]
['AStar-Alg3-Add-transport14'],[0.021112918853759766]
['AStar-Alg3-Add-transport15'],[0.020028114318847656]
['AStar-Alg3-Add-transport16'],[0.015628814697265625]
['AStar-Alg3-Add-transport17'],[0.0060389041900634766]
['AStar-Alg3-Add-transport18'],[0.0046100616455078125]
['AStar-Alg3-Add-transport19'],[0.0033020973205566406]
['AStar-Alg3-Add-transport20'],[0.008630037307739258]
['AStar-Alg3-Add-transport21'],[0.004557132720947266]
['AStar-Alg3-Add-transport22'],[0.00523686408996582]
['AStar-Alg3-Add-transport23'],[0.03145003318786621]
['AStar-Alg3-Add-transport24'],[0.004899024963378906]
['AStar-Alg3-Add-transport25'],[0.031343936920166016]
['AStar-Alg3-Add-transport26'],[0.03007817268371582]
['AStar-Alg3-Add-transport27'],[0.03174996376037598]
['AStar-Alg3-Add-transport28'],[0.03246188163757324]
['AStar-Alg3-Add-transport29'],[0.03063178062438965]
['AStar-Alg3-Add-transport30'],[0.03169584274291992]
['AStar-Alg3-Add-woodworking1'],[0.03208112716674805]
['AStar-Alg3-Add-woodworking2'],[0.008013010025024414]
['AStar-Alg3-Add-woodworking3'],[0.002964019775390625]
['AStar-Alg3-Add-woodworking4'],[0.008527040481567383]
['AStar-Alg3-Add-woodworking5'],[0.0053250789642333984]
['AStar-Alg3-Add-woodworking6'],[0.004516124725341797]
['AStar-Alg3-Add-woodworking7'],[0.031729936599731445]
['AStar-Alg3-Add-woodworking8'],[0.031526803970336914]
['AStar-Alg3-Add-woodworking9'],[0.03100299835205078]
['AStar-Alg3-Add-woodworking10'],[0.03108978271484375]
['AStar-Alg3-Add-woodworking11'],[0.03141593933105469]
